recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,
92,Condiments,"Aspall Organic Cyder Vinegar 350Ml, £2.00 each",150ml cider vinegar,1,£2.00,150ml,cider vinegar,cider vinegar,
96,Condiments,"Tesco Finest Caperberries 280G, £3.30 each",1 tbsp capers,1,£3.30,1 tbsp,capers,capers,
97,Condiments,"Tesco Bbq Sauce 440G, £1.20 each",2 tbsp bbq sauce,1,£1.20,2 tbsp,bbq sauce,bbq sauce,
99,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",2 tbsp tomato purée,1,£0.60,2 tbsp,tomato purée,tomato purée,
102,Condiments,"Tesco Organic Balsamic Vinegar Of Modena 250Ml, £2.00 each",2 tsp balsamic vinegar,1,£2.00,2 tsp,balsamic vinegar,balsamic vinegar,
103,Condiments,"Tesco Dijon Mustard 185G, £0.80 each",1 tsp dijon mustard,1,£0.80,1 tsp,dijon mustard,dijon mustard,
104,Condiments,"Tesco Finest Basil Pesto 190G, £2.10 each",142.5g spinach and ricotta pesto,1,£2.10,142.5g,spinach and ricotta pesto,green pesto,
105,Condiments,"Tesco Pickled Red Cabbage 340G, £1.10 each",170g pickled red cabbage,1,£1.10,170g,pickled red cabbage,pickled red cabbage,
107,Condiments,"Aleyna Roasted Red Peppers 480G, £1.70 each",150g roasted red peppers,1,£1.70,150g,roasted red peppers,roasted red peppers,
111,Condiments,"Tesco Classic Green Pesto 190G, £1.25 each",75g pesto,1,£1.25,75g,pesto,green pesto,
112,Condiments,"Blue Dragon Fish Sauce 150Ml, £1.75 each",3 tbsp fish sauce,1,£1.75,3 tbsp,fish sauce,fish sauce,
112,Condiments,"Flora Pure Sunflower Oil 1Lt Plus 25%, £3.50 each",2 tbsp sunflower oil,1,£3.50,2 tbsp,sunflower oil,cooking oil,
115,Condiments,"Amoy Reduced Salt Soy Sauce 150Ml, £2.00 each",2 tbsp reduced salt soy sauce,1,£2.00,2 tbsp,reduced salt soy sauce,soy sauce,
115,Condiments,"Blue Dragon Sesame Oil 150Ml, £2.70 each",2 tbsp sesame oil,1,£2.70,2 tbsp,sesame oil,sesame oil,
115,Condiments,"Tesco Sriracha Hot Chilli Sauce 285G, £1.95 each",4 tbsp sriracha,1,£1.95,4 tbsp,sriracha,sriracha,
117,Condiments,"Heinz Seriously Good Mayonnaise 215G, £1.68 each",4.5 tbsp mayonnaise,1,£1.68,4.5 tbsp,mayonnaise,mayonnaise,
117,Condiments,"Flora Pure Sunflower Oil 1Lt Plus 25%, £3.50 each",sunflower oil,1,£3.50,,sunflower oil,cooking oil,
119,Condiments,"Tesco Massaman Curry Paste 200G, £1.90 each",1 tsp massaman curry paste,1,£1.90,1 tsp,massaman curry paste,massaman curry paste,
119,Condiments,"Nuts About Nature Peanut Butter Smooth 340G, £1.85 each",1 tsp smooth peanut butter,1,£1.85,1 tsp,smooth peanut butter,smooth peanut butter,
121,Condiments,"Tesco Red Wine Vinegar 350Ml, £1.05 each",150ml red wine vinegar,1,£1.05,150ml,red wine vinegar,red wine vinegar,
122,Condiments,"Flora Pure Sunflower Oil 1Lt Plus 25%, £3.50 each",50ml sunflower oil,1,£3.50,50ml,sunflower oil,cooking oil,
128,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",3 tbsp tomato purée,1,£0.60,3 tbsp,tomato purée,tomato purée,
130,Condiments,"Tesco Finest Horseradish Sauce 165G, £2.00 each",horseradish sauce,1,£2.00,,horseradish sauce,horseradish sauce,
132,Condiments,"Tesco Finest Caperberries 280G, £3.30 each",2 tbsp capers,1,£3.30,2 tbsp,capers,capers,
132,Condiments,"Tesco Pitted Queen Olives 340G, £1.60 each",100g pitted queen olives,1,£1.60,100g,pitted queen olives,pitted green olives,
132,Condiments,"Tesco Tahini 300G, £2.60 each",3 tbsp tahini,1,£2.60,3 tbsp,tahini,tahini,
133,Condiments,"Tesco Wholegrain Mustard 180G, £0.80 each",1 tsp grainy mustard,1,£0.80,1 tsp,grainy mustard,wholegrain mustard,
134,Condiments,"Blue Dragon Fish Sauce 150Ml, £1.75 each",1 tsp fish sauce,1,£1.75,1 tsp,fish sauce,fish sauce,
