Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
52,54,10,7.64,2.36,7.17,7.17,0,14.81,2.36,27,3
8,56,10.21,8.37,1.84,6.44,6.44,0,14.81,1.84,26,2
62,56,10.02,8.37,1.65,6.44,6.44,0,14.81,1.65,24,2
53,37,7.83,6.02,1.81,8.8,8.8,0,14.82,1.81,28,2
3,75,8.85,2.5,6.35,12.92,12.32,0.600000000000001,14.82,6.95,12,3
139,78,13.9,10.45,3.45,4.4,4.4,0,14.85,3.45,28,3
31,132,4.82,3.87,0.95,11.51,10.99,0.52,14.86,1.47,10,1
148,131,9.42,7.92,1.5,6.95,6.95,0,14.87,1.5,28,2
59,39,9.28,7.08,2.2,7.81,7.81,0,14.89,2.2,24,3
72,14,7.72,6.77,0.95,8.13,8.13,0,14.9,0.95,23,1
59,53,9.28,7.08,2.2,7.83,7.83,0,14.91,2.2,26,3
54,36,7.17,6.62,0.55,8.3,8.3,0,14.92,0.55,22,1
39,36,7.81,6.65,1.16,8.3,8.3,0,14.95,1.16,22,2
14,59,8.13,5.68,2.45,9.28,9.28,0,14.96,2.45,23,3
52,9,10,7.64,2.36,7.35,7.35,0,14.99,2.36,28,3
57,59,9.45,6.94,2.51,9.28,8.06,1.22,15,3.73,12,2
8,82,10.21,8.37,1.84,6.65,6.65,0,15.02,1.84,28,2
62,82,10.02,8.37,1.65,6.65,6.65,0,15.02,1.65,26,2
37,54,8.8,7.85,0.95,7.17,7.17,0,15.02,0.95,27,1
57,14,9.45,6.94,2.51,8.13,8.13,0,15.07,2.51,23,2
72,36,7.72,6.77,0.95,8.3,8.3,0,15.07,0.95,22,1
9,72,7.35,7.35,0,7.72,7.72,0,15.07,0,26,0
148,54,9.42,7.92,1.5,7.17,7.17,0,15.09,1.5,28,2
14,148,8.13,5.68,2.45,9.42,9.42,0,15.1,2.45,26,3
82,52,6.65,5.1,1.55,10,10,0,15.1,1.55,23,2
114,26,11.25,4.4,6.85,10.72,10.72,0,15.12,6.85,26,5
82,62,6.65,5.1,1.55,10.02,10.02,0,15.12,1.55,25,2
31,114,4.82,3.87,0.95,11.25,11.25,0,15.12,0.95,21,1
14,57,8.13,5.68,2.45,9.45,9.45,0,15.13,2.45,25,3
148,39,9.42,7.92,1.5,7.81,7.21,0.6,15.13,2.1,13,2
75,3,12.92,9.65,3.27,8.85,5.5,3.35,15.15,6.62,14,4
26,61,10.72,9.22,1.5,5.93,5.93,0,15.15,1.5,26,2
139,53,13.9,10.45,3.45,7.83,4.71,3.12,15.16,6.57,13,3
9,39,7.35,7.35,0,7.81,7.81,0,15.16,0,24,0
93,26,6.35,4.45,1.9,10.72,10.72,0,15.17,1.9,27,2
9,53,7.35,7.35,0,7.83,7.83,0,15.18,0,26,0
3,49,8.85,2.5,6.35,12.68,12.68,0,15.18,6.35,27,3
37,9,8.8,7.85,0.95,7.35,7.35,0,15.2,0.95,28,1
59,14,9.28,7.08,2.2,8.13,8.13,0,15.21,2.2,23,3
57,62,9.45,6.94,2.51,10.02,8.3,1.72,15.24,4.23,12,2
57,36,9.45,6.94,2.51,8.3,8.3,0,15.24,2.51,22,2
148,9,9.42,7.92,1.5,7.35,7.35,0,15.27,1.5,29,2
53,59,7.83,6.02,1.81,9.28,9.28,0,15.3,1.81,25,2
3,133,8.85,2.5,6.35,12.8,12.8,0,15.3,6.35,29,3
82,75,6.65,5.1,1.55,12.92,10.21,2.71,15.31,4.26,11,2
82,8,6.65,5.1,1.55,10.21,10.21,0,15.31,1.55,27,2
8,131,10.21,8.37,1.84,6.95,6.95,0,15.32,1.84,30,2
62,131,10.02,8.37,1.65,6.95,6.95,0,15.32,1.65,28,2
52,72,10,7.64,2.36,7.72,7.72,0,15.36,2.36,26,3
36,148,8.3,5.94,2.36,9.42,9.42,0,15.36,2.36,27,4
59,62,9.28,7.08,2.2,10.02,8.3,1.72,15.38,3.92,12,3
59,36,9.28,7.08,2.2,8.3,8.3,0,15.38,2.2,22,3
